PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOV,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Aaron Brooks,Ind,PG,32,46,14.3,29.9,19.6,0.173,29,0.793,125,0.464,101,0.337,0.505,5.2,1.1,4.4,2.2,22.5,0.48,0.17,6.5
Aaron Gordon,Orl,SF,21,56,27.6,57.6,19.6,0.091,137,0.65,369,0.499,192,0.292,0.503,11.2,4.6,9.1,1.9,11.2,0.75,0.43,6.7
Adreian Payne,Min,PF,25,12,7.7,16.1,25.2,0.133,15,0.8,29,0.517,10,0.2,0.526,4,1.7,12.6,0.3,6.9,0.42,0.33,6.6
Al Horford,Bos,C,30,45,32.9,68.5,20.6,0.113,88,0.807,374,0.511,194,0.351,0.541,14.6,6.6,11.3,4.9,23.7,0.71,1.53,9.5
Al Jefferson,Ind,C,32,57,14.6,30.4,26,0.058,79,0.772,420,0.507,1,0,0.534,8.5,4.3,16.4,0.9,11.3,0.28,0.26,8.8
Alan Anderson,Lac,SF,34,23,11.6,24.1,13.8,0.085,12,0.75,31,0.419,39,0.308,0.472,3.1,1,4.8,0.5,5.7,0.13,0,4
Alan Williams,Pho,PF,24,23,7.2,14.9,20.3,0.165,25,0.56,55,0.527,0,0,0.545,3.1,3.2,24.8,0.1,1.9,0.3,0.61,5.5
Alec Burks,Uta,SG,25,21,15.2,31.6,22.8,0.117,44,0.682,80,0.5,37,0.324,0.535,7,1.9,7.1,0.6,6.9,0.57,0.14,5.3
Alex Abrines,Okc,SG,23,46,14,29.1,16,0.095,41,0.878,57,0.439,144,0.375,0.566,5.4,1.1,4.4,0.5,5.2,0.46,0.11,4.1
Alex Len,Pho,C,23,54,19.7,40.9,17.4,0.164,134,0.731,303,0.505,4,0.25,0.556,7.5,6.4,18,0.6,4.3,0.35,1.28,6.2
Alexis Ajinca,Nor,C,28,23,15.2,31.7,16.3,0.163,24,0.708,94,0.479,3,0,0.497,4.7,4.5,15.6,0.3,3,0.52,0.74,4.9
Al-Farouq Aminu,Por,SF,26,37,29.1,60.5,15.5,0.148,67,0.746,157,0.42,137,0.307,0.476,8.3,7.4,14,2.1,10.1,1,0.65,6.9
Allen Crabbe,Por,SG,24,56,28.5,59.3,15,0.09,96,0.865,251,0.482,200,0.43,0.591,10.4,2.8,5.3,1.3,6.6,0.59,0.16,4.7
Alonzo Gee,Den,SF,29,13,6.9,14.3,10.4,0.182,9,0.556,11,0.273,3,0,0.306,0.8,1.1,8.7,0.5,8.3,0.38,0.08,4.4
Amir Johnson,Bos,PF,29,56,19.7,41.1,13.7,0.144,69,0.667,216,0.606,44,0.409,0.623,6.5,4.6,13,1.7,12.8,0.54,0.66,7.5
Anderson Varejao,Gol,C,34,14,6.6,13.7,12.6,0.298,11,0.727,14,0.357,0,0,0.478,1.3,1.9,16.2,0.7,12.8,0.21,0.21,7.3
Andre Drummond,Det,C,23,56,30.5,63.4,23.5,0.13,246,0.439,667,0.529,6,0.333,0.525,14.6,13.8,25.1,1.1,5.6,1.71,1.21,7.9
Andre Iguodala,Gol,SF,33,54,25.6,53.3,10.3,0.112,55,0.691,146,0.61,122,0.361,0.595,6.4,3.9,8.4,3.4,16.3,0.93,0.39,6.9
Andre Roberson,Okc,SF,25,57,30.6,63.8,10.4,0.089,86,0.43,203,0.576,146,0.24,0.486,6.6,5.1,9.3,1,4.4,1.16,1,4.2
Andrew Bogut,Dal,C,32,26,22.4,46.7,10.5,0.334,11,0.273,80,0.475,1,0,0.46,3,8.3,21.8,1.9,12.2,0.5,0.96,6.5
Andrew Harrison,Mem,SG,22,53,21.9,45.7,16.2,0.159,154,0.766,159,0.358,123,0.26,0.469,6.2,1.9,5,3,20.3,0.85,0.36,6
Andrew Nicholson,Was,PF,27,28,8.3,17.2,17.7,0.118,12,0.583,61,0.443,16,0.188,0.425,2.5,1.2,8.3,0.3,4.2,0.39,0.21,4.7
Andrew Wiggins,Min,SF,21,57,37.2,77.5,28.2,0.097,361,0.753,853,0.489,203,0.355,0.544,23.2,4.1,6.5,2.5,11.6,0.91,0.39,6.7
Anthony Bennett,Bro,PF,23,23,11.5,23.9,19.4,0.1,36,0.722,44,0.568,48,0.271,0.533,5,3.4,15.6,0.5,7.1,0.22,0.13,7.1
Anthony Brown,Nor,SF,24,9,15.8,33,14.3,0.109,0,0,17,0.471,24,0.25,0.415,3.8,2.9,9.6,0.7,6,0.56,0.11,5
Anthony Brown,Orl,SF,24,2,8.3,17.2,26.9,0.1,0,0,6,0.5,3,0.333,0.5,4.5,3.5,23.3,1,22.3,0,0,12.1
Anthony Davis,Nor,C,23,53,36.4,75.7,32.4,0.099,458,0.801,983,0.521,85,0.306,0.579,27.7,11.9,17.2,2.2,11.7,1.26,2.47,9.9
Anthony Morrow,Okc,SG,31,40,15.7,32.6,16.3,0.029,26,0.885,103,0.495,119,0.294,0.493,5.8,0.7,2.6,0.5,4.5,0.55,0.05,3.2
Anthony Tolliver,Sac,PF,31,45,23.2,48.3,13.2,0.125,53,0.792,81,0.568,162,0.389,0.606,7.2,3.8,9.5,1,6.2,0.62,0.22,5.2
Archie Goodwin,Nor,SG,22,3,9.9,20.6,14,0,10,1,3,0.333,2,0.5,0.798,5,0,0,0.3,4.6,0,0.33,0
Aron Baynes,Det,C,30,54,15.5,32.2,13.8,0.143,70,0.871,191,0.482,0,0,0.552,4.5,4,14.4,0.3,3,0.26,0.43,4.5
Arron Afflalo,Sac,SG,31,49,25.6,53.3,13.8,0.086,69,0.884,196,0.454,123,0.39,0.548,7.8,1.9,4.3,1.2,7.4,0.37,0.12,4.1
Austin Rivers,Lac,SG,24,54,28.3,59,20,0.122,136,0.691,329,0.468,213,0.399,0.546,12.2,2.1,4.2,3,16.1,0.74,0.17,6
Avery Bradley,Bos,SG,26,36,34.9,72.8,22.4,0.101,63,0.762,353,0.51,186,0.409,0.561,17.7,6.9,11.1,2.4,11.3,1.31,0.22,7.6
Ben McLemore,Sac,SG,23,42,18,37.4,18.2,0.119,40,0.775,142,0.444,108,0.37,0.518,6.6,1.5,4.9,0.8,7.3,0.52,0.12,4.4
Beno Udrih,Det,PG,34,30,14,29.2,19.7,0.129,26,0.923,122,0.475,28,0.357,0.527,5.7,1.3,5,3,32.7,0.23,0,8
Bismack Biyombo,Orl,C,24,57,23.3,48.5,13.1,0.179,174,0.494,245,0.535,0,0,0.541,6.1,7.3,17.1,1,6.2,0.32,1.26,6.1
Blake Griffin,Lac,PF,27,36,33.3,69.3,29.5,0.108,248,0.758,564,0.502,36,0.306,0.555,21.9,8.8,14.6,5,26.3,1.06,0.56,11.9
Boban Marjanovic,Det,C,28,23,6.9,14.4,24.4,0.081,27,0.778,68,0.471,0,0,0.532,3.7,3.3,26.2,0.2,5.1,0.09,0.35,7.8
Bobby Portis,Chi,PF,21,39,12.1,25.2,17.6,0.115,32,0.656,119,0.513,36,0.361,0.538,4.7,3.4,15,0.5,6.7,0.18,0.15,6.6
Bojan Bogdanovic,Bro,SF,27,55,27,56.1,22.4,0.12,167,0.874,334,0.509,277,0.357,0.572,14.2,3.6,7,1.6,10.1,0.44,0.05,6.4
Boris Diaw,Uta,PF,34,48,18.2,37.8,15.6,0.221,24,0.792,158,0.519,57,0.263,0.505,4.8,2,6.4,2.2,18.5,0.27,0.04,6.1
Bradley Beal,Was,SG,23,51,34.4,71.8,26.4,0.099,227,0.811,480,0.527,368,0.402,0.598,22.2,2.9,4.8,3.7,17.1,1.02,0.24,7.2
Brandan Wright,Mem,PF,29,8,13.8,28.8,20.8,0.059,9,0.556,43,0.581,1,0,0.573,6.9,2.5,10.3,0.1,1.7,0.38,0.75,3.5
Brandon Bass,Lac,PF,31,37,11.8,24.6,18.6,0.137,53,0.906,132,0.598,2,0.5,0.664,5.6,2.3,10.8,0.5,6.9,0.22,0.22,6.3
Brandon Ingram,Lal,SF,19,58,27.7,57.6,15.6,0.126,148,0.655,311,0.389,135,0.304,0.452,8,4.1,7.9,1.9,10,0.45,0.45,5.7
Brandon Jennings,Nyk,PG,27,56,25,52.2,17.7,0.18,130,0.754,221,0.425,196,0.342,0.513,8.7,2.6,5.6,5,28.2,0.96,0.05,7.7
Brandon Knight,Pho,SG,25,54,21.1,44,25.2,0.129,154,0.857,386,0.425,139,0.324,0.502,11,2.2,5.8,2.4,18.2,0.5,0.09,7.3
Brandon Rush,Min,SG,31,23,18,37.5,10.5,0.122,10,0.7,32,0.313,50,0.4,0.503,3.8,1.7,5.6,0.7,5.2,0.52,0.48,3.7
Brian Roberts,Cha,PG,31,20,7.3,15.2,17.3,0.176,22,0.864,24,0.292,13,0.462,0.546,2.6,0.8,5.9,1.2,23.9,0.1,0,7.4
Briante Weber,Gol,PG,24,5,8.1,17,14.1,0.15,3,0.667,8,0.375,2,0,0.353,1.6,0.6,4.1,1,14.8,0.4,0.2,4.9
Brook Lopez,Bro,C,28,51,29.6,61.6,29.3,0.117,260,0.835,538,0.532,262,0.344,0.579,20.8,5.2,9.2,2.5,16,0.55,1.78,8.7
Buddy Hield,Nor,SG,23,57,20.4,42.4,20.4,0.09,33,0.879,231,0.416,241,0.369,0.502,8.6,2.9,7.5,1.4,10.4,0.32,0.12,6.4
Cameron Payne,Okc,PG,22,20,16,33.4,19.7,0.114,4,1,78,0.346,52,0.308,0.402,5.3,1.6,5.3,2,18.5,0.5,0.2,6.4
Caris LeVert,Bro,SF,22,32,20.1,41.8,16.2,0.144,49,0.735,88,0.545,99,0.303,0.532,6.9,2.8,7.4,1.9,14.1,0.94,0.16,6.6
Carmelo Anthony,Nyk,SF,32,56,34,70.9,29.6,0.087,290,0.824,751,0.47,320,0.378,0.546,23.4,6.1,9.5,2.9,14.9,0.86,0.46,8.8
Chandler Parsons,Mem,SF,28,27,19.4,40.4,18.3,0.076,35,0.857,106,0.406,74,0.27,0.45,6.5,2.4,7.1,1.6,13.5,0.63,0.15,6
Channing Frye,Cle,C,33,48,18.5,38.6,20,0.081,51,0.843,122,0.492,228,0.408,0.593,9.2,3.8,11.1,0.7,5.5,0.38,0.5,6.3
Chasson Randle,Phi,PG,23,8,9.2,19.2,20.2,0.088,12,1,11,0.545,15,0.4,0.671,5.3,0.6,3.7,0.8,13.4,0.38,0.13,5.9
Cheick Diallo,Nor,PF,20,9,10.4,21.8,21.4,0.044,10,0.7,39,0.436,0,0,0.472,4.6,3.6,17.9,0.3,5.2,0.33,0.33,6.6
Chris Andersen,Cle,C,38,12,9.5,19.8,12.8,0.151,14,0.714,19,0.474,3,0,0.497,2.3,2.6,15,0.4,5.9,0.42,0.58,5.6
Chris McCullough,Bro,PF,21,14,5.2,10.7,20.3,0.058,3,0.667,25,0.6,6,0.167,0.541,2.5,1.2,12.4,0.1,4.9,0.07,0.14,5.1
Chris Paul,Lac,PG,31,36,30.9,64.4,24,0.143,161,0.876,267,0.521,177,0.395,0.611,17.5,5.3,9.5,9.7,50,2.25,0.14,12.5
Christian Wood,Cha,PF,21,3,5.5,11.4,10.5,0,2,1,1,1,2,0,0.515,1.3,2,19.7,0.3,8.5,0,0.67,6.7
CJ McCollum,Por,SG,25,56,34.5,72,28.2,0.104,211,0.896,681,0.52,336,0.411,0.591,23.4,3.7,5.9,3.6,18.6,1.04,0.61,7.9
CJ Miles,Ind,SF,29,51,23.1,48.1,18.6,0.057,64,0.875,167,0.461,266,0.417,0.589,10.6,2.9,7.1,0.6,3.8,0.63,0.41,4.6
CJ Watson,Orl,PG,32,46,16.8,35.1,13.8,0.149,57,0.86,106,0.425,74,0.338,0.522,4.7,1.5,4.8,1.8,15.6,0.72,0.02,5.6
Clint Capela,Hou,C,22,43,23.3,48.5,19.6,0.116,114,0.5,355,0.645,0,0,0.636,12,7.5,17.8,0.9,6.3,0.49,1.35,7.4
Cody Zeller,Cha,PF,24,39,26.8,55.8,16.6,0.126,133,0.692,281,0.587,0,0,0.621,10.8,6.5,13,1.4,8.7,0.77,1.05,6.9
Cole Aldrich,Min,C,28,51,9.3,19.3,9,0.135,21,0.667,74,0.527,0,0,0.553,1.8,2.8,17.7,0.5,7.3,0.45,0.41,5.9
Corey Brewer,Hou,SF,30,58,15.9,33.2,13.1,0.127,44,0.727,133,0.541,94,0.234,0.491,4.2,2,6.9,1.1,9,0.66,0.19,5.3
